Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
AdaBoostClassifier,0.9230769230769231,0.875,0.875,0.9196067090803933,11.198012590408325
LGBMClassifier,0.8717948717948718,0.837962962962963,0.837962962962963,0.8701733049559135,2.3899834156036377
XGBClassifier,0.8717948717948718,0.8148148148148148,0.8148148148148149,0.8660111818006555,1.3679962158203125
ExtraTreesClassifier,0.8717948717948718,0.8148148148148148,0.8148148148148149,0.8660111818006555,0.44408416748046875
RidgeClassifierCV,0.8461538461538461,0.7962962962962963,0.7962962962962964,0.8419080919080918,0.3589954376220703
RidgeClassifier,0.8461538461538461,0.7962962962962963,0.7962962962962964,0.8419080919080918,0.32500576972961426
BaggingClassifier,0.8461538461538461,0.7962962962962963,0.7962962962962964,0.8419080919080918,2.7409842014312744
LogisticRegression,0.8205128205128205,0.7546296296296297,0.7546296296296295,0.8124156545209177,0.5060107707977295
LinearDiscriminantAnalysis,0.8205128205128205,0.7546296296296297,0.7546296296296295,0.8124156545209177,0.5460152626037598
RandomForestClassifier,0.8205128205128205,0.7546296296296297,0.7546296296296295,0.8124156545209177,0.6719965934753418
BernoulliNB,0.7692307692307693,0.7175925925925926,0.7175925925925926,0.7663119489206446,0.3489573001861572
KNeighborsClassifier,0.8205128205128205,0.7083333333333334,0.7083333333333333,0.793858022401899,0.3519926071166992
PassiveAggressiveClassifier,0.717948717948718,0.7037037037037037,0.7037037037037037,0.7253226076755488,0.40999674797058105
NearestCentroid,0.7435897435897436,0.6990740740740741,0.699074074074074,0.7435897435897436,0.37598419189453125
LinearSVC,0.6923076923076923,0.6851851851851851,0.6851851851851852,0.701978021978022,0.4039785861968994
DecisionTreeClassifier,0.6666666666666666,0.6666666666666666,0.6666666666666667,0.6783954961294862,0.5419907569885254
Perceptron,0.6410256410256411,0.6481481481481481,0.6481481481481483,0.6544871794871795,0.37309789657592773
SGDClassifier,0.6410256410256411,0.6481481481481481,0.6481481481481483,0.6544871794871795,0.37600111961364746
QuadraticDiscriminantAnalysis,0.5384615384615384,0.5972222222222222,0.5972222222222222,0.5494505494505494,0.43009328842163086
ExtraTreeClassifier,0.6666666666666666,0.5972222222222222,0.5972222222222221,0.6624505928853756,0.3030550479888916
CalibratedClassifierCV,0.7435897435897436,0.5833333333333334,0.5833333333333333,0.6720467032967031,0.7359952926635742
NuSVC,0.717948717948718,0.5648148148148148,0.5648148148148148,0.6534798534798535,0.48499631881713867
LabelSpreading,0.3076923076923077,0.5,0.5,0.14479638009049772,0.3599975109100342
LabelPropagation,0.3076923076923077,0.5,0.5,0.14479638009049772,0.3959975242614746
DummyClassifier,0.6923076923076923,0.5,0.5,0.5664335664335665,0.30305027961730957
SVC,0.6923076923076923,0.5,0.5,0.5664335664335665,0.45499277114868164
GaussianNB,0.6153846153846154,0.4907407407407407,0.4907407407407407,0.5810745899951966,0.3380007743835449
